"Date","Violations","Statistics","Value"
2012,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",543.44
2013,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",522.06
2014,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",520.89
2015,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",533.35
2016,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",601.21
2017,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",623.41
2018,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",649.21
2019,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",657.54
2010,"Total other Criminal Code violations [300]","Total, adult charged",147505
2011,"Total other Criminal Code violations [300]","Total, adult charged",144433
2012,"Total other Criminal Code violations [300]","Total, adult charged",148833
2013,"Total other Criminal Code violations [300]","Total, adult charged",146111
2014,"Total other Criminal Code violations [300]","Total, adult charged",148169
2015,"Total other Criminal Code violations [300]","Total, adult charged",153420
2016,"Total other Criminal Code violations [300]","Total, adult charged",176645
2017,"Total other Criminal Code violations [300]","Total, adult charged",186774
2018,"Total other Criminal Code violations [300]","Total, adult charged",199327
2019,"Total other Criminal Code violations [300]","Total, adult charged",206281
2010,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",545.08
2011,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",527.15
2012,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",535.88
2013,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",519.31
2014,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",520.43
2015,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",534.63
2016,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",608.5
2017,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",634.81
2018,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",666.91
2019,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",679.3
2010,"Total other Criminal Code violations [300]","Total, youth charged",16928
2011,"Total other Criminal Code violations [300]","Total, youth charged",15813
2012,"Total other Criminal Code violations [300]","Total, youth charged",15362
2013,"Total other Criminal Code violations [300]","Total, youth charged",13266
2014,"Total other Criminal Code violations [300]","Total, youth charged",12424
2015,"Total other Criminal Code violations [300]","Total, youth charged",12173
2016,"Total other Criminal Code violations [300]","Total, youth charged",12108
2017,"Total other Criminal Code violations [300]","Total, youth charged",11416
2018,"Total other Criminal Code violations [300]","Total, youth charged",10154
2019,"Total other Criminal Code violations [300]","Total, youth charged",9210
2010,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",669.3
2011,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",635.58
2012,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",629.47
2013,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",554.43
2014,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",526.42
2015,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",517.79
2016,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",511.84
2017,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",481.88
2018,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",426.87
2019,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",382.85
2010,"Total other Criminal Code violations [300]","Total, youth not charged",11972
2011,"Total other Criminal Code violations [300]","Total, youth not charged",10447
2012,"Total other Criminal Code violations [300]","Total, youth not charged",9768
2013,"Total other Criminal Code violations [300]","Total, youth not charged",8261
2014,"Total other Criminal Code violations [300]","Total, youth not charged",7545
2015,"Total other Criminal Code violations [300]","Total, youth not charged",7092
2016,"Total other Criminal Code violations [300]","Total, youth not charged",6768
2017,"Total other Criminal Code violations [300]","Total, youth not charged",6827
2018,"Total other Criminal Code violations [300]","Total, youth not charged",6012
2019,"Total other Criminal Code violations [300]","Total, youth not charged",5535
2010,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",473.35
2011,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",419.9
2012,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",400.25
2013,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",345.25
2014,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",319.69
2015,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",301.67
2016,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",286.1
2017,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",288.17
2018,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",252.74
2019,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",230.08
2010,"Total impaired driving [910]","Actual incidents",87231
2011,"Total impaired driving [910]","Actual incidents",89607
2012,"Total impaired driving [910]","Actual incidents",84149
2013,"Total impaired driving [910]","Actual incidents",77558
2014,"Total impaired driving [910]","Actual incidents",74577
2015,"Total impaired driving [910]","Actual incidents",71870
2016,"Total impaired driving [910]","Actual incidents",71304
2017,"Total impaired driving [910]","Actual incidents",69108
2018,"Total impaired driving [910]","Actual incidents",70832
2019,"Total impaired driving [910]","Actual incidents",85673
2010,"Total impaired driving [910]","Rate per 100,000 population",256.52
2011,"Total impaired driving [910]","Rate per 100,000 population",260.95
2012,"Total impaired driving [910]","Rate per 100,000 population",242.4
2013,"Total impaired driving [910]","Rate per 100,000 population",221.07
2014,"Total impaired driving [910]","Rate per 100,000 population",210.45
2015,"Total impaired driving [910]","Rate per 100,000 population",201.3
2016,"Total impaired driving [910]","Rate per 100,000 population",197.47
2017,"Total impaired driving [910]","Rate per 100,000 population",189.11
2018,"Total impaired driving [910]","Rate per 100,000 population",191.14
2019,"Total impaired driving [910]","Rate per 100,000 population",227.92
2010,"Total impaired driving [910]","Percentage change in rate",-2.31
2011,"Total impaired driving [910]","Percentage change in rate",1.72
2012,"Total impaired driving [910]","Percentage change in rate",-7.11
2013,"Total impaired driving [910]","Percentage change in rate",-8.8
2014,"Total impaired driving [910]","Percentage change in rate",-4.81
2015,"Total impaired driving [910]","Percentage change in rate",-4.35
2016,"Total impaired driving [910]","Percentage change in rate",-1.9
2017,"Total impaired driving [910]","Percentage change in rate",-4.23
2018,"Total impaired driving [910]","Percentage change in rate",1.07
2019,"Total impaired driving [910]","Percentage change in rate",19.24
2010,"Total impaired driving [910]","Total cleared",75758
2011,"Total impaired driving [910]","Total cleared",77281
2012,"Total impaired driving [910]","Total cleared",71952
2013,"Total impaired driving [910]","Total cleared",66801
2014,"Total impaired driving [910]","Total cleared",63233
2015,"Total impaired driving [910]","Total cleared",61257
2016,"Total impaired driving [910]","Total cleared",59430
2017,"Total impaired driving [910]","Total cleared",55618
2018,"Total impaired driving [910]","Total cleared",55093
2019,"Total impaired driving [910]","Total cleared",57461
2010,"Total impaired driving [910]","Total, persons charged",65188
2011,"Total impaired driving [910]","Total, persons charged",60164
2012,"Total impaired driving [910]","Total, persons charged",60261
2013,"Total impaired driving [910]","Total, persons charged",54107
2014,"Total impaired driving [910]","Total, persons charged",51784
2015,"Total impaired driving [910]","Total, persons charged",50931
2016,"Total impaired driving [910]","Total, persons charged",49240
2017,"Total impaired driving [910]","Total, persons charged",45865
2018,"Total impaired driving [910]","Total, persons charged",44867
2019,"Total impaired driving [910]","Total, persons charged",48572
2010,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",220.3
2011,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",201.31
2012,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",199.45
2013,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",177.24
2014,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",167.96
2015,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",164.04
2016,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",156.84
2017,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",144.27
2018,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",139.05
2019,"Total impaired driving [910]","Rate, total persons charged per 100,000 population aged 12 years and over",148.21
2010,"Total impaired driving [910]","Total, adult charged",64327
2011,"Total impaired driving [910]","Total, adult charged",59395
2012,"Total impaired driving [910]","Total, adult charged",59570
2013,"Total impaired driving [910]","Total, adult charged",53654
2014,"Total impaired driving [910]","Total, adult charged",51392
2015,"Total impaired driving [910]","Total, adult charged",50528
2016,"Total impaired driving [910]","Total, adult charged",48886
2017,"Total impaired driving [910]","Total, adult charged",45561
2018,"Total impaired driving [910]","Total, adult charged",44571
2019,"Total impaired driving [910]","Total, adult charged",48239
2010,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",237.71
2011,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",216.78
2012,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",214.49
2013,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",190.7
2014,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",180.51
2015,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",176.08
2016,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",168.4
2017,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",154.85
2018,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",149.13
2019,"Total impaired driving [910]","Rate, adult charged per 100,000 population aged 18 years and over",158.86
2010,"Total impaired driving [910]","Total, youth charged",861
2011,"Total impaired driving [910]","Total, youth charged",769
2012,"Total impaired driving [910]","Total, youth charged",691
2013,"Total impaired driving [910]","Total, youth charged",453
2014,"Total impaired driving [910]","Total, youth charged",392
2015,"Total impaired driving [910]","Total, youth charged",403
2016,"Total impaired driving [910]","Total, youth charged",354
2017,"Total impaired driving [910]","Total, youth charged",304
2018,"Total impaired driving [910]","Total, youth charged",296
2019,"Total impaired driving [910]","Total, youth charged",333
2010,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",34.04
2011,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",30.91
2012,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",28.31
2013,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",18.93
2014,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",16.61
2015,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",17.14
2016,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",14.96
2017,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",12.83
2018,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",12.44
2019,"Total impaired driving [910]","Rate, youth charged per 100,000 population aged 12 to 17 years",13.84
2010,"Total impaired driving [910]","Total, youth not charged",224
2011,"Total impaired driving [910]","Total, youth not charged",219
2012,"Total impaired driving [910]","Total, youth not charged",194
2013,"Total impaired driving [910]","Total, youth not charged",148
2014,"Total impaired driving [910]","Total, youth not charged",113
2015,"Total impaired driving [910]","Total, youth not charged",94
2016,"Total impaired driving [910]","Total, youth not charged",81
2017,"Total impaired driving [910]","Total, youth not charged",90
2018,"Total impaired driving [910]","Total, youth not charged",92
2019,"Total impaired driving [910]","Total, youth not charged",55
2010,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",8.86
2011,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",8.8
2012,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",7.95
2013,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",6.19
2014,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4.79
2015,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",4
2016,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3.42
2017,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3.8
2018,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",3.87
2019,"Total impaired driving [910]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2.29
2010,"Total other Criminal Code traffic violations [920]","Actual incidents",55615
2011,"Total other Criminal Code traffic violations [920]","Actual incidents",55922
2012,"Total other Criminal Code traffic violations [920]","Actual incidents",57046
2013,"Total other Criminal Code traffic violations [920]","Actual incidents",58050
2014,"Total other Criminal Code traffic violations [920]","Actual incidents",54856
2015,"Total other Criminal Code traffic violations [920]","Actual incidents",54012
2016,"Total other Criminal Code traffic violations [920]","Actual incidents",53712
2017,"Total other Criminal Code traffic violations [920]","Actual incidents",56308
2018,"Total other Criminal Code traffic violations [920]","Actual incidents",55058
2019,"Total other Criminal Code traffic violations [920]","Actual incidents",51033
2010,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",163.55
2011,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",162.85
2012,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",164.33
2013,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",165.46
2014,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",154.8
2015,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",151.28
2016,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",148.75
2017,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",154.09
2018,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",148.57
2019,"Total other Criminal Code traffic violations [920]","Rate per 100,000 population",135.76
2010,"Total other Criminal Code traffic violations [920]","Percentage change in rate",-4.91
2011,"Total other Criminal Code traffic violations [920]","Percentage change in rate",-0.43
2012,"Total other Criminal Code traffic violations [920]","Percentage change in rate",0.91
2013,"Total other Criminal Code traffic violations [920]","Percentage change in rate",0.69
2014,"Total other Criminal Code traffic violations [920]","Percentage change in rate",-6.45
2015,"Total other Criminal Code traffic violations [920]","Percentage change in rate",-2.27
2016,"Total other Criminal Code traffic violations [920]","Percentage change in rate",-1.68
2017,"Total other Criminal Code traffic violations [920]","Percentage change in rate",3.59
2018,"Total other Criminal Code traffic violations [920]","Percentage change in rate",-3.58
2019,"Total other Criminal Code traffic violations [920]","Percentage change in rate",-8.62
2010,"Total other Criminal Code traffic violations [920]","Total cleared",19584
2011,"Total other Criminal Code traffic violations [920]","Total cleared",19171
2012,"Total other Criminal Code traffic violations [920]","Total cleared",18813
2013,"Total other Criminal Code traffic violations [920]","Total cleared",17946
2014,"Total other Criminal Code traffic violations [920]","Total cleared",18160
2015,"Total other Criminal Code traffic violations [920]","Total cleared",18715
2016,"Total other Criminal Code traffic violations [920]","Total cleared",18861
2017,"Total other Criminal Code traffic violations [920]","Total cleared",18986
2018,"Total other Criminal Code traffic violations [920]","Total cleared",19561
2019,"Total other Criminal Code traffic violations [920]","Total cleared",19304
2010,"Total other Criminal Code traffic violations [920]","Total, persons charged",16168
2011,"Total other Criminal Code traffic violations [920]","Total, persons charged",15639
2012,"Total other Criminal Code traffic violations [920]","Total, persons charged",15817
2013,"Total other Criminal Code traffic violations [920]","Total, persons charged",15158
2014,"Total other Criminal Code traffic violations [920]","Total, persons charged",15584
2015,"Total other Criminal Code traffic violations [920]","Total, persons charged",16005
2016,"Total other Criminal Code traffic violations [920]","Total, persons charged",16137
2017,"Total other Criminal Code traffic violations [920]","Total, persons charged",16260
2018,"Total other Criminal Code traffic violations [920]","Total, persons charged",17059
2019,"Total other Criminal Code traffic violations [920]","Total, persons charged",17068
2010,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",54.64
2011,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",52.33
2012,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",52.35
2013,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",49.65
2014,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",50.55
2015,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",51.55
2016,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",51.4
2017,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",51.15
2018,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",52.87
2019,"Total other Criminal Code traffic violations [920]","Rate, total persons charged per 100,000 population aged 12 years and over",52.08
2010,"Total other Criminal Code traffic violations [920]","Total, adult charged",15458
2011,"Total other Criminal Code traffic violations [920]","Total, adult charged",14972
2012,"Total other Criminal Code traffic violations [920]","Total, adult charged",15085
2013,"Total other Criminal Code traffic violations [920]","Total, adult charged",14543
2014,"Total other Criminal Code traffic violations [920]","Total, adult charged",14979
2015,"Total other Criminal Code traffic violations [920]","Total, adult charged",15382
2016,"Total other Criminal Code traffic violations [920]","Total, adult charged",15546
2017,"Total other Criminal Code traffic violations [920]","Total, adult charged",15697
2018,"Total other Criminal Code traffic violations [920]","Total, adult charged",16549
2019,"Total other Criminal Code traffic violations [920]","Total, adult charged",16609
2010,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",57.12
2011,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",54.65
2012,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",54.31
2013,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",51.69
2014,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",52.61
2015,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",53.6
2016,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",53.55
2017,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",53.35
2018,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",55.37
2019,"Total other Criminal Code traffic violations [920]","Rate, adult charged per 100,000 population aged 18 years and over",54.69
2010,"Total other Criminal Code traffic violations [920]","Total, youth charged",710
2011,"Total other Criminal Code traffic violations [920]","Total, youth charged",667
2012,"Total other Criminal Code traffic violations [920]","Total, youth charged",732
2013,"Total other Criminal Code traffic violations [920]","Total, youth charged",615
2014,"Total other Criminal Code traffic violations [920]","Total, youth charged",605
2015,"Total other Criminal Code traffic violations [920]","Total, youth charged",623
2016,"Total other Criminal Code traffic violations [920]","Total, youth charged",591
2017,"Total other Criminal Code traffic violations [920]","Total, youth charged",563
2018,"Total other Criminal Code traffic violations [920]","Total, youth charged",510
2019,"Total other Criminal Code traffic violations [920]","Total, youth charged",459
2010,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",28.07
2011,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",26.81
2012,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",29.99
2013,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",25.7
2014,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",25.63
2015,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",26.5
2016,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",24.98
2017,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",23.76
2018,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",21.44
2019,"Total other Criminal Code traffic violations [920]","Rate, youth charged per 100,000 population aged 12 to 17 years",19.08
2010,"Total other Criminal Code traffic violations [920]","Total, youth not charged",347
2011,"Total other Criminal Code traffic violations [920]","Total, youth not charged",259
2012,"Total other Criminal Code traffic violations [920]","Total, youth not charged",228
2013,"Total other Criminal Code traffic violations [920]","Total, youth not charged",189
2014,"Total other Criminal Code traffic violations [920]","Total, youth not charged",164
2015,"Total other Criminal Code traffic violations [920]","Total, youth not charged",160
2016,"Total other Criminal Code traffic violations [920]","Total, youth not charged",161
2017,"Total other Criminal Code traffic violations [920]","Total, youth not charged",159
2018,"Total other Criminal Code traffic violations [920]","Total, youth not charged",134
2019,"Total other Criminal Code traffic violations [920]","Total, youth not charged",138
2010,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",13.72
2011,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",10.41
2012,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",9.34
2013,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",7.9
2014,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",6.95
2015,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",6.81
2016,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",6.81
2017,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",6.71
2018,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",5.63
2019,"Total other Criminal Code traffic violations [920]","Rate, youth not charged per 100,000 population aged 12 to 17 years",5.74
2010,"Total drug violations [401]","Actual incidents",109222
2011,"Total drug violations [401]","Actual incidents",113345
2012,"Total drug violations [401]","Actual incidents",110093
2013,"Total drug violations [401]","Actual incidents",109091
2014,"Total drug violations [401]","Actual incidents",104518
2015,"Total drug violations [401]","Actual incidents",99827
2016,"Total drug violations [401]","Actual incidents",96515
2017,"Total drug violations [401]","Actual incidents",92986
2018,"Total drug violations [401]","Actual incidents",84927
2019,"Total drug violations [401]","Actual incidents",70140
2010,"Total drug violations [401]","Rate per 100,000 population",321.19
2011,"Total drug violations [401]","Rate per 100,000 population",330.07
2012,"Total drug violations [401]","Rate per 100,000 population",317.14
2013,"Total drug violations [401]","Rate per 100,000 population",310.95
2014,"Total drug violations [401]","Rate per 100,000 population",294.94
2015,"Total drug violations [401]","Rate per 100,000 population",279.6
2016,"Total drug violations [401]","Rate per 100,000 population",267.28
2017,"Total drug violations [401]","Rate per 100,000 population",254.45
2018,"Total drug violations [401]","Rate per 100,000 population",229.17
2019,"Total drug violations [401]","Rate per 100,000 population",186.6
2010,"Total drug violations [401]","Percentage change in rate",10.26
2011,"Total drug violations [401]","Percentage change in rate",2.77
2012,"Total drug violations [401]","Percentage change in rate",-3.92
2013,"Total drug violations [401]","Percentage change in rate",-1.95
2014,"Total drug violations [401]","Percentage change in rate",-5.15
2015,"Total drug violations [401]","Percentage change in rate",-5.2
2016,"Total drug violations [401]","Percentage change in rate",-4.41
2017,"Total drug violations [401]","Percentage change in rate",-4.8
2018,"Total drug violations [401]","Percentage change in rate",-9.93
2019,"Total drug violations [401]","Percentage change in rate",-18.58
2010,"Total drug violations [401]","Total cleared",84804
2011,"Total drug violations [401]","Total cleared",89975
2012,"Total drug violations [401]","Total cleared",85578
2013,"Total drug violations [401]","Total cleared",85969
2014,"Total drug violations [401]","Total cleared",83845
2015,"Total drug violations [401]","Total cleared",77233
2016,"Total drug violations [401]","Total cleared",73656
2017,"Total drug violations [401]","Total cleared",69378
2018,"Total drug violations [401]","Total cleared",60496
2019,"Total drug violations [401]","Total cleared",37616
2010,"Total drug violations [401]","Total, persons charged",63644
2011,"Total drug violations [401]","Total, persons charged",64918
2012,"Total drug violations [401]","Total, persons charged",62196
2013,"Total drug violations [401]","Total, persons charged",61881
2014,"Total drug violations [401]","Total, persons charged",58953
2015,"Total drug violations [401]","Total, persons charged",55870
2016,"Total drug violations [401]","Total, persons charged",52719
2017,"Total drug violations [401]","Total, persons charged",49085
2018,"Total drug violations [401]","Total, persons charged",43460
2019,"Total drug violations [401]","Total, persons charged",35143
2010,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",215.08
2011,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",217.21
2012,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",205.85
2013,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",202.7
2014,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",191.22
2015,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",179.95
2016,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",167.92
2017,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",154.4
2018,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",134.69
2019,"Total drug violations [401]","Rate, total persons charged per 100,000 population aged 12 years and over",107.23
2010,"Total drug violations [401]","Total, adult charged",57199
2011,"Total drug violations [401]","Total, adult charged",58365
2012,"Total drug violations [401]","Total, adult charged",56329
2013,"Total drug violations [401]","Total, adult charged",56406
2014,"Total drug violations [401]","Total, adult charged",54275
2015,"Total drug violations [401]","Total, adult charged",52137
2016,"Total drug violations [401]","Total, adult charged",49535
2017,"Total drug violations [401]","Total, adult charged",46323
2018,"Total drug violations [401]","Total, adult charged",41385
2019,"Total drug violations [401]","Total, adult charged",33992
2010,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",211.37
2011,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",213.02
2012,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",202.82
2013,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",200.48
2014,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",190.64
2015,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",181.68
2016,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",170.64
2017,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",157.44
2018,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",138.47
2019,"Total drug violations [401]","Rate, adult charged per 100,000 population aged 18 years and over",111.94
2010,"Total drug violations [401]","Total, youth charged",6445
2011,"Total drug violations [401]","Total, youth charged",6553
2012,"Total drug violations [401]","Total, youth charged",5867
2013,"Total drug violations [401]","Total, youth charged",5475
2014,"Total drug violations [401]","Total, youth charged",4678
2015,"Total drug violations [401]","Total, youth charged",3733
2016,"Total drug violations [401]","Total, youth charged",3184
2017,"Total drug violations [401]","Total, youth charged",2762
2018,"Total drug violations [401]","Total, youth charged",2075
