"Date","Violations","Statistics","Value"
2013,"Total property crime violations [200]","Total cleared",265494
2014,"Total property crime violations [200]","Total cleared",257666
2015,"Total property crime violations [200]","Total cleared",259602
2016,"Total property crime violations [200]","Total cleared",248529
2017,"Total property crime violations [200]","Total cleared",250883
2018,"Total property crime violations [200]","Total cleared",255582
2019,"Total property crime violations [200]","Total cleared",257566
2000,"Total property crime violations [200]","Total, persons charged",193021
2001,"Total property crime violations [200]","Total, persons charged",192501
2002,"Total property crime violations [200]","Total, persons charged",188813
2003,"Total property crime violations [200]","Total, persons charged",181070
2004,"Total property crime violations [200]","Total, persons charged",178871
2005,"Total property crime violations [200]","Total, persons charged",172000
2006,"Total property crime violations [200]","Total, persons charged",168294
2007,"Total property crime violations [200]","Total, persons charged",161151
2008,"Total property crime violations [200]","Total, persons charged",157326
2009,"Total property crime violations [200]","Total, persons charged",160087
2010,"Total property crime violations [200]","Total, persons charged",154116
2011,"Total property crime violations [200]","Total, persons charged",143321
2012,"Total property crime violations [200]","Total, persons charged",141161
2013,"Total property crime violations [200]","Total, persons charged",134574
2014,"Total property crime violations [200]","Total, persons charged",128230
2015,"Total property crime violations [200]","Total, persons charged",129911
2016,"Total property crime violations [200]","Total, persons charged",122549
2017,"Total property crime violations [200]","Total, persons charged",121191
2018,"Total property crime violations [200]","Total, persons charged",125160
2019,"Total property crime violations [200]","Total, persons charged",132113
2000,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",741.63
2001,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",729.4
2002,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",704.92
2003,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",667.14
2004,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",650.47
2005,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",617.65
2006,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",596.83
2007,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",564.8
2008,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",544.63
2009,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",547.37
2010,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",520.83
2011,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",479.55
2012,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",467.21
2013,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",440.82
2014,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",415.92
2015,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",418.43
2016,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",390.34
2017,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",381.21
2018,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",387.89
2019,"Total property crime violations [200]","Rate, total persons charged per 100,000 population aged 12 years and over",403.12
2000,"Total property crime violations [200]","Total, adult charged",139147
2001,"Total property crime violations [200]","Total, adult charged",139655
2002,"Total property crime violations [200]","Total, adult charged",138039
2003,"Total property crime violations [200]","Total, adult charged",140938
2004,"Total property crime violations [200]","Total, adult charged",142856
2005,"Total property crime violations [200]","Total, adult charged",138725
2006,"Total property crime violations [200]","Total, adult charged",136355
2007,"Total property crime violations [200]","Total, adult charged",129408
2008,"Total property crime violations [200]","Total, adult charged",127980
2009,"Total property crime violations [200]","Total, adult charged",130778
2010,"Total property crime violations [200]","Total, adult charged",127951
2011,"Total property crime violations [200]","Total, adult charged",120827
2012,"Total property crime violations [200]","Total, adult charged",120615
2013,"Total property crime violations [200]","Total, adult charged",117287
2014,"Total property crime violations [200]","Total, adult charged",113484
2015,"Total property crime violations [200]","Total, adult charged",115741
2016,"Total property crime violations [200]","Total, adult charged",110642
2017,"Total property crime violations [200]","Total, adult charged",110314
2018,"Total property crime violations [200]","Total, adult charged",115656
2019,"Total property crime violations [200]","Total, adult charged",123610
2000,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",590.83
2001,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",584.38
2002,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",569.05
2003,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",573.25
2004,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",573.33
2005,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",549.64
2006,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",533.23
2007,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",499.41
2008,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",486.81
2009,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",490.14
2010,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",472.82
2011,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",441
2012,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",434.28
2013,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",416.86
2014,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",398.6
2015,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",403.33
2016,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",381.13
2017,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",374.94
2018,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",386.96
2019,"Total property crime violations [200]","Rate, adult charged per 100,000 population aged 18 years and over",407.06
2000,"Total property crime violations [200]","Total, youth charged",53874
2001,"Total property crime violations [200]","Total, youth charged",52846
2002,"Total property crime violations [200]","Total, youth charged",50774
2003,"Total property crime violations [200]","Total, youth charged",40132
2004,"Total property crime violations [200]","Total, youth charged",36015
2005,"Total property crime violations [200]","Total, youth charged",33275
2006,"Total property crime violations [200]","Total, youth charged",31939
2007,"Total property crime violations [200]","Total, youth charged",31743
2008,"Total property crime violations [200]","Total, youth charged",29346
2009,"Total property crime violations [200]","Total, youth charged",29309
2010,"Total property crime violations [200]","Total, youth charged",26165
2011,"Total property crime violations [200]","Total, youth charged",22494
2012,"Total property crime violations [200]","Total, youth charged",20546
2013,"Total property crime violations [200]","Total, youth charged",17287
2014,"Total property crime violations [200]","Total, youth charged",14746
2015,"Total property crime violations [200]","Total, youth charged",14170
2016,"Total property crime violations [200]","Total, youth charged",11907
2017,"Total property crime violations [200]","Total, youth charged",10877
2018,"Total property crime violations [200]","Total, youth charged",9504
2019,"Total property crime violations [200]","Total, youth charged",8503
2000,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",2176.54
2001,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",2119.07
2002,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",2008.96
2003,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",1570.37
2004,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",1394.9
2005,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",1275.82
2006,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",1215.95
2007,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",1211.41
2008,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",1130.1
2009,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",1142.72
2010,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",1034.52
2011,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",904.11
2012,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",841.88
2013,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",722.48
2014,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",624.81
2015,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",602.74
2016,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",503.34
2017,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",459.13
2018,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",399.54
2019,"Total property crime violations [200]","Rate, youth charged per 100,000 population aged 12 to 17 years",353.46
2000,"Total property crime violations [200]","Total, youth not charged",42886
2001,"Total property crime violations [200]","Total, youth not charged",46251
2002,"Total property crime violations [200]","Total, youth not charged",47247
2003,"Total property crime violations [200]","Total, youth not charged",65493
2004,"Total property crime violations [200]","Total, youth not charged",63586
2005,"Total property crime violations [200]","Total, youth not charged",59356
2006,"Total property crime violations [200]","Total, youth not charged",62896
2007,"Total property crime violations [200]","Total, youth not charged",61958
2008,"Total property crime violations [200]","Total, youth not charged",59532
2009,"Total property crime violations [200]","Total, youth not charged",59000
2010,"Total property crime violations [200]","Total, youth not charged",52607
2011,"Total property crime violations [200]","Total, youth not charged",44736
2012,"Total property crime violations [200]","Total, youth not charged",40825
2013,"Total property crime violations [200]","Total, youth not charged",32275
2014,"Total property crime violations [200]","Total, youth not charged",30053
2015,"Total property crime violations [200]","Total, youth not charged",29795
2016,"Total property crime violations [200]","Total, youth not charged",28088
2017,"Total property crime violations [200]","Total, youth not charged",27910
2018,"Total property crime violations [200]","Total, youth not charged",23413
2019,"Total property crime violations [200]","Total, youth not charged",21548
2000,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1732.62
2001,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1854.61
2002,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1869.41
2003,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2562.75
2004,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2462.76
2005,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2275.81
2006,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2394.51
2007,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2364.5
2008,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2292.55
2009,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2300.33
2010,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",2079.99
2011,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1798.1
2012,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1672.83
2013,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1348.87
2014,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1273.39
2015,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1267.37
2016,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1187.36
2017,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",1178.11
2018,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",984.26
2019,"Total property crime violations [200]","Rate, youth not charged per 100,000 population aged 12 to 17 years",895.72
2000,"Total other Criminal Code violations [300]","Actual incidents",283474
2001,"Total other Criminal Code violations [300]","Actual incidents",306862
2002,"Total other Criminal Code violations [300]","Actual incidents",310807
2003,"Total other Criminal Code violations [300]","Actual incidents",328080
2004,"Total other Criminal Code violations [300]","Actual incidents",342493
2005,"Total other Criminal Code violations [300]","Actual incidents",339309
2006,"Total other Criminal Code violations [300]","Actual incidents",341837
2007,"Total other Criminal Code violations [300]","Actual incidents",338399
2008,"Total other Criminal Code violations [300]","Actual incidents",345299
2009,"Total other Criminal Code violations [300]","Actual incidents",342092
2010,"Total other Criminal Code violations [300]","Actual incidents",349968
2011,"Total other Criminal Code violations [300]","Actual incidents",346140
2012,"Total other Criminal Code violations [300]","Actual incidents",347480
2013,"Total other Criminal Code violations [300]","Actual incidents",335537
2014,"Total other Criminal Code violations [300]","Actual incidents",325163
2015,"Total other Criminal Code violations [300]","Actual incidents",332018
2016,"Total other Criminal Code violations [300]","Actual incidents",354743
2017,"Total other Criminal Code violations [300]","Actual incidents",364184
2018,"Total other Criminal Code violations [300]","Actual incidents",375406
2019,"Total other Criminal Code violations [300]","Actual incidents",408510
2000,"Total other Criminal Code violations [300]","Rate per 100,000 population",923.7
2001,"Total other Criminal Code violations [300]","Rate per 100,000 population",989.27
2002,"Total other Criminal Code violations [300]","Rate per 100,000 population",991.29
2003,"Total other Criminal Code violations [300]","Rate per 100,000 population",1036.93
2004,"Total other Criminal Code violations [300]","Rate per 100,000 population",1072.28
2005,"Total other Criminal Code violations [300]","Rate per 100,000 population",1052.28
2006,"Total other Criminal Code violations [300]","Rate per 100,000 population",1049.53
2007,"Total other Criminal Code violations [300]","Rate per 100,000 population",1028.95
2008,"Total other Criminal Code violations [300]","Rate per 100,000 population",1038.63
2009,"Total other Criminal Code violations [300]","Rate per 100,000 population",1017.27
2010,"Total other Criminal Code violations [300]","Rate per 100,000 population",1029.16
2011,"Total other Criminal Code violations [300]","Rate per 100,000 population",1008
2012,"Total other Criminal Code violations [300]","Rate per 100,000 population",1000.97
2013,"Total other Criminal Code violations [300]","Rate per 100,000 population",956.41
2014,"Total other Criminal Code violations [300]","Rate per 100,000 population",917.57
2015,"Total other Criminal Code violations [300]","Rate per 100,000 population",929.95
2016,"Total other Criminal Code violations [300]","Rate per 100,000 population",982.41
2017,"Total other Criminal Code violations [300]","Rate per 100,000 population",996.58
2018,"Total other Criminal Code violations [300]","Rate per 100,000 population",1013.03
2019,"Total other Criminal Code violations [300]","Rate per 100,000 population",1086.77
2000,"Total other Criminal Code violations [300]","Percentage change in rate",1.55
2001,"Total other Criminal Code violations [300]","Percentage change in rate",7.1
2002,"Total other Criminal Code violations [300]","Percentage change in rate",0.2
2003,"Total other Criminal Code violations [300]","Percentage change in rate",4.6
2004,"Total other Criminal Code violations [300]","Percentage change in rate",3.41
2005,"Total other Criminal Code violations [300]","Percentage change in rate",-1.87
2006,"Total other Criminal Code violations [300]","Percentage change in rate",-0.26
2007,"Total other Criminal Code violations [300]","Percentage change in rate",-1.96
2008,"Total other Criminal Code violations [300]","Percentage change in rate",0.94
2009,"Total other Criminal Code violations [300]","Percentage change in rate",-2.06
2010,"Total other Criminal Code violations [300]","Percentage change in rate",1.17
2011,"Total other Criminal Code violations [300]","Percentage change in rate",-2.06
2012,"Total other Criminal Code violations [300]","Percentage change in rate",-0.7
2013,"Total other Criminal Code violations [300]","Percentage change in rate",-4.45
2014,"Total other Criminal Code violations [300]","Percentage change in rate",-4.06
2015,"Total other Criminal Code violations [300]","Percentage change in rate",1.35
2016,"Total other Criminal Code violations [300]","Percentage change in rate",5.64
2017,"Total other Criminal Code violations [300]","Percentage change in rate",1.44
2018,"Total other Criminal Code violations [300]","Percentage change in rate",1.65
2019,"Total other Criminal Code violations [300]","Percentage change in rate",7.28
2000,"Total other Criminal Code violations [300]","Total cleared",213116
2001,"Total other Criminal Code violations [300]","Total cleared",218656
2002,"Total other Criminal Code violations [300]","Total cleared",223083
2003,"Total other Criminal Code violations [300]","Total cleared",230476
2004,"Total other Criminal Code violations [300]","Total cleared",232548
2005,"Total other Criminal Code violations [300]","Total cleared",233441
2006,"Total other Criminal Code violations [300]","Total cleared",252977
2007,"Total other Criminal Code violations [300]","Total cleared",250223
2008,"Total other Criminal Code violations [300]","Total cleared",259224
2009,"Total other Criminal Code violations [300]","Total cleared",259442
2010,"Total other Criminal Code violations [300]","Total cleared",267084
2011,"Total other Criminal Code violations [300]","Total cleared",261638
2012,"Total other Criminal Code violations [300]","Total cleared",263616
2013,"Total other Criminal Code violations [300]","Total cleared",258314
2014,"Total other Criminal Code violations [300]","Total cleared",247868
2015,"Total other Criminal Code violations [300]","Total cleared",248049
2016,"Total other Criminal Code violations [300]","Total cleared",270503
2017,"Total other Criminal Code violations [300]","Total cleared",281579
2018,"Total other Criminal Code violations [300]","Total cleared",291520
2019,"Total other Criminal Code violations [300]","Total cleared",292702
2000,"Total other Criminal Code violations [300]","Total, persons charged",115514
2001,"Total other Criminal Code violations [300]","Total, persons charged",128746
2002,"Total other Criminal Code violations [300]","Total, persons charged",131690
2003,"Total other Criminal Code violations [300]","Total, persons charged",135473
2004,"Total other Criminal Code violations [300]","Total, persons charged",139997
2005,"Total other Criminal Code violations [300]","Total, persons charged",138028
2006,"Total other Criminal Code violations [300]","Total, persons charged",145172
2007,"Total other Criminal Code violations [300]","Total, persons charged",154152
2008,"Total other Criminal Code violations [300]","Total, persons charged",160815
2009,"Total other Criminal Code violations [300]","Total, persons charged",159856
2010,"Total other Criminal Code violations [300]","Total, persons charged",164433
2011,"Total other Criminal Code violations [300]","Total, persons charged",160246
2012,"Total other Criminal Code violations [300]","Total, persons charged",164195
2013,"Total other Criminal Code violations [300]","Total, persons charged",159377
2014,"Total other Criminal Code violations [300]","Total, persons charged",160593
2015,"Total other Criminal Code violations [300]","Total, persons charged",165593
2016,"Total other Criminal Code violations [300]","Total, persons charged",188753
2017,"Total other Criminal Code violations [300]","Total, persons charged",198190
2018,"Total other Criminal Code violations [300]","Total, persons charged",209481
2019,"Total other Criminal Code violations [300]","Total, persons charged",215491
2000,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",443.83
2001,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",487.83
2002,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",491.65
2003,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",499.14
2004,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",509.11
2005,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",495.66
2006,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",514.83
2007,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",540.27
2008,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",556.71
2009,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",546.58
2010,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",555.7
2011,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",536.18
2012,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",543.44
2013,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",522.06
2014,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",520.89
2015,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",533.35
2016,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",601.21
2017,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",623.41
2018,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",649.21
2019,"Total other Criminal Code violations [300]","Rate, total persons charged per 100,000 population aged 12 years and over",657.54
2000,"Total other Criminal Code violations [300]","Total, adult charged",96693
2001,"Total other Criminal Code violations [300]","Total, adult charged",107791
2002,"Total other Criminal Code violations [300]","Total, adult charged",111637
2003,"Total other Criminal Code violations [300]","Total, adult charged",116907
2004,"Total other Criminal Code violations [300]","Total, adult charged",122145
2005,"Total other Criminal Code violations [300]","Total, adult charged",120803
2006,"Total other Criminal Code violations [300]","Total, adult charged",127320
2007,"Total other Criminal Code violations [300]","Total, adult charged",134981
2008,"Total other Criminal Code violations [300]","Total, adult charged",141866
2009,"Total other Criminal Code violations [300]","Total, adult charged",141966
2010,"Total other Criminal Code violations [300]","Total, adult charged",147505
2011,"Total other Criminal Code violations [300]","Total, adult charged",144433
2012,"Total other Criminal Code violations [300]","Total, adult charged",148833
2013,"Total other Criminal Code violations [300]","Total, adult charged",146111
2014,"Total other Criminal Code violations [300]","Total, adult charged",148169
2015,"Total other Criminal Code violations [300]","Total, adult charged",153420
2016,"Total other Criminal Code violations [300]","Total, adult charged",176645
2017,"Total other Criminal Code violations [300]","Total, adult charged",186774
2018,"Total other Criminal Code violations [300]","Total, adult charged",199327
2019,"Total other Criminal Code violations [300]","Total, adult charged",206281
2000,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",410.56
2001,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",451.05
2002,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",460.21
2003,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",475.51
2004,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",490.21
2005,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",478.63
2006,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",497.9
2007,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",520.92
2008,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",539.62
2009,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",532.07
2010,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",545.08
2011,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",527.15
2012,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",535.88
2013,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",519.31
2014,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",520.43
2015,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",534.63
2016,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",608.5
2017,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",634.81
2018,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",666.91
2019,"Total other Criminal Code violations [300]","Rate, adult charged per 100,000 population aged 18 years and over",679.3
2000,"Total other Criminal Code violations [300]","Total, youth charged",18821
2001,"Total other Criminal Code violations [300]","Total, youth charged",20955
2002,"Total other Criminal Code violations [300]","Total, youth charged",20053
2003,"Total other Criminal Code violations [300]","Total, youth charged",18566
2004,"Total other Criminal Code violations [300]","Total, youth charged",17852
2005,"Total other Criminal Code violations [300]","Total, youth charged",17225
2006,"Total other Criminal Code violations [300]","Total, youth charged",17852
2007,"Total other Criminal Code violations [300]","Total, youth charged",19171
2008,"Total other Criminal Code violations [300]","Total, youth charged",18949
2009,"Total other Criminal Code violations [300]","Total, youth charged",17890
2010,"Total other Criminal Code violations [300]","Total, youth charged",16928
2011,"Total other Criminal Code violations [300]","Total, youth charged",15813
2012,"Total other Criminal Code violations [300]","Total, youth charged",15362
2013,"Total other Criminal Code violations [300]","Total, youth charged",13266
2014,"Total other Criminal Code violations [300]","Total, youth charged",12424
2015,"Total other Criminal Code violations [300]","Total, youth charged",12173
2016,"Total other Criminal Code violations [300]","Total, youth charged",12108
2017,"Total other Criminal Code violations [300]","Total, youth charged",11416
2018,"Total other Criminal Code violations [300]","Total, youth charged",10154
2019,"Total other Criminal Code violations [300]","Total, youth charged",9210
2000,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",760.38
2001,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",840.27
2002,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",793.43
2003,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",726.49
2004,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",691.43
2005,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",660.44
2006,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",679.64
2007,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",731.62
2008,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",729.72
2009,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",697.51
2010,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",669.3
2011,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",635.58
2012,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",629.47
2013,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",554.43
2014,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",526.42
2015,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",517.79
2016,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",511.84
2017,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",481.88
2018,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",426.87
2019,"Total other Criminal Code violations [300]","Rate, youth charged per 100,000 population aged 12 to 17 years",382.85
2000,"Total other Criminal Code violations [300]","Total, youth not charged",7437
2001,"Total other Criminal Code violations [300]","Total, youth not charged",9002
2002,"Total other Criminal Code violations [300]","Total, youth not charged",9503
2003,"Total other Criminal Code violations [300]","Total, youth not charged",11744
2004,"Total other Criminal Code violations [300]","Total, youth not charged",12522
2005,"Total other Criminal Code violations [300]","Total, youth not charged",12738
2006,"Total other Criminal Code violations [300]","Total, youth not charged",14700
2007,"Total other Criminal Code violations [300]","Total, youth not charged",13384
2008,"Total other Criminal Code violations [300]","Total, youth not charged",12790
2009,"Total other Criminal Code violations [300]","Total, youth not charged",12874
2010,"Total other Criminal Code violations [300]","Total, youth not charged",11972
2011,"Total other Criminal Code violations [300]","Total, youth not charged",10447
2012,"Total other Criminal Code violations [300]","Total, youth not charged",9768
2013,"Total other Criminal Code violations [300]","Total, youth not charged",8261
2014,"Total other Criminal Code violations [300]","Total, youth not charged",7545
2015,"Total other Criminal Code violations [300]","Total, youth not charged",7092
2016,"Total other Criminal Code violations [300]","Total, youth not charged",6768
2017,"Total other Criminal Code violations [300]","Total, youth not charged",6827
2018,"Total other Criminal Code violations [300]","Total, youth not charged",6012
2019,"Total other Criminal Code violations [300]","Total, youth not charged",5535
2000,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",300.46
2001,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",360.97
2002,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",376
2003,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",459.54
2004,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",484.99
2005,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",488.4
2006,"Total other Criminal Code violations [300]","Rate, youth not charged per 100,000 population aged 12 to 17 years",559.64
